[2025-04-01 09:41:41]手动测试通过: 设置10%亮度，ppfd值为317, 差值为1, 设定值为316
[2025-04-01 09:41:47]手动测试通过: 设置20%亮度，ppfd值为462, 差值为2, 设定值为460
[2025-04-01 09:41:53]手动测试通过: 设置30%亮度，ppfd值为604, 差值为3, 设定值为601
[2025-04-01 09:41:59]手动测试通过: 设置40%亮度，ppfd值为745, 差值为3, 设定值为742
[2025-04-01 09:42:05]手动测试通过: 设置50%亮度，ppfd值为884, 差值为5, 设定值为879
[2025-04-01 09:42:11]手动测试通过: 设置60%亮度，ppfd值为1022, 差值为5, 设定值为1017
[2025-04-01 09:42:17]手动测试通过: 设置70%亮度，ppfd值为1156, 差值为6, 设定值为1150
[2025-04-01 09:42:23]手动测试通过: 设置80%亮度，ppfd值为1290, 差值为7, 设定值为1283
[2025-04-01 09:42:29]手动测试通过: 设置90%亮度，ppfd值为1421, 差值为7, 设定值为1414
[2025-04-01 09:42:35]手动测试通过: 设置100%亮度，ppfd值为1535, 差值为7, 设定值为1528
[2025-04-01 09:42:41]手动测试通过: 设置100%亮度，ppfd值为1534, 差值为6, 设定值为1528
[2025-04-01 09:42:47]手动测试通过: 设置90%亮度，ppfd值为1420, 差值为6, 设定值为1414
[2025-04-01 09:42:53]手动测试通过: 设置80%亮度，ppfd值为1288, 差值为5, 设定值为1283
[2025-04-01 09:42:59]手动测试通过: 设置70%亮度，ppfd值为1155, 差值为5, 设定值为1150
[2025-04-01 09:43:05]手动测试通过: 设置60%亮度，ppfd值为1020, 差值为3, 设定值为1017
[2025-04-01 09:43:11]手动测试通过: 设置50%亮度，ppfd值为883, 差值为4, 设定值为879
[2025-04-01 09:43:17]手动测试通过: 设置40%亮度，ppfd值为744, 差值为2, 设定值为742
[2025-04-01 09:43:23]手动测试通过: 设置30%亮度，ppfd值为604, 差值为3, 设定值为601
[2025-04-01 09:43:29]手动测试通过: 设置20%亮度，ppfd值为460, 差值为0, 设定值为460
[2025-04-01 09:43:35]手动测试通过: 设置10%亮度，ppfd值为316, 差值为0, 设定值为316
